"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ITGA4",10686.4750647514,-0.544510593823757,0.0999152307348453,-5.44972563060758,5.04475851734679e-08,0.000777044154426926
"AC006064.4",2713.66214169953,0.512198013622348,0.121008268506023,4.23275219078812,2.30848823769305e-05,0.13106306674514
"AC009133.1",1158.49308374423,0.536427962089789,0.127414816397181,4.2100909239442,2.55267934970733e-05,0.13106306674514
"AL662797.1",2458.22841320764,0.468864622953601,0.115137375473653,4.07221912975505,4.65673374910435e-05,0.143921090573933
"AL583722.2",185.162888767777,1.13251909693533,0.278160145114004,4.07146428713276,4.67185257981995e-05,0.143921090573933
"AC011603.2",2814.36536268857,0.55902521598296,0.140992768027924,3.96492120696748,7.34201950450137e-05,0.153017264117655
"MYH11",78.5784299066111,1.61343820694205,0.41126482787389,3.92311254838646,8.74122908981941e-05,0.153017264117655
"AC133550.1",92.0229296928258,1.39203029340329,0.350604216429786,3.97037522132044,7.17595303537656e-05,0.153017264117655
"AC021224.1",1526.28596741657,0.564724860582984,0.144148071588685,3.917671976871,8.94082566421407e-05,0.153017264117655
"AC092069.1",824.537792323586,0.54474157978398,0.14061950354955,3.87386931423799,0.000107120871339657,0.164998278124474
"AC008622.2",480.436574108825,0.644632262176254,0.170201607143256,3.78746283890068,0.000152193438518149,0.213112321226823
"AC093484.3",1246.40737231946,0.532386372697454,0.143375390812194,3.71323397747401,0.000204627542271874,0.26265650280114
"LINC02067",688.357640303481,0.608312607911324,0.165156100528527,3.68325848070174,0.000230271453374146,0.27283624587092
"AC125611.3",331.969162673313,0.7672873120069,0.209400254921081,3.66421383916689,0.000248099446277717,0.272962555072548
"SLFNL1",94.4180418309236,1.24649155656754,0.347459769885885,3.58744138055731,0.000333938775588655,0.34291059735947
"P2RY14",64.8394925094601,1.68820971141977,0.479813854328613,3.51846803961512,0.000434046094881597,0.417850749966328
"C9orf147",21.7862091563756,-2.83410413419608,0.809584833349284,-3.50068827558352,0.000464058311557601,0.420464127818925
"AL160408.2",708.160200328821,0.537735964730524,0.155910180226276,3.44901124448766,0.000562643271957491,0.481466350997846
"TSSK3",69.6594515161847,1.46210987253144,0.430397922614108,3.39711182538015,0.000681011311626838,0.552085117525694
"AC068987.2",8.01613950416592,-6.12498460448705,1.82616881832729,-3.35400787868962,0.000796500948658994,0.613425205609725
"TMEM184A",388.378402117127,0.627834230565529,0.188989372762061,3.32206103120929,0.000893551468840671,0.628756536103469
"AL355075.4",155990.129811613,-0.386401078573233,0.116993037659682,-3.30276985966657,0.000957349227863946,0.628756536103469
"CIDEB",247.257710106245,0.868369475916455,0.262224502207954,3.31154971638694,0.000927807522661665,0.628756536103469
"P2RX1",108.092236656329,-1.11199516108751,0.33734693897562,-3.29629539388788,0.00097968946740786,0.628756536103469
"SPDYE3",165.094290928649,0.899075445381678,0.275800768573959,3.25987287863768,0.00111462159098831,0.686740654639715
"AC069287.2",52.5278692941649,1.56508663534738,0.485476028059897,3.22381857164385,0.00126493513134245,0.749376762617993
"AP001363.2",7.10568638884721,-5.95011333355523,1.86361544375978,-3.1927795798639,0.00140910462756942,0.803868095498214
"AC135782.3",299.284413310406,0.669231455286464,0.210937888714869,3.17264697851928,0.00151056077433006,0.830970271678782
"TGFBR2",356.014382124563,-0.63779870111544,0.201953778515268,-3.15814195606755,0.00158778219544545,0.843331350222288
"DYSF",69.0086667133691,1.23380719176997,0.394857187014163,3.12469224911365,0.00177991169815223,0.843921002237774
"CHRNA9",25.5551949197992,-2.42910290792034,0.780549451366493,-3.11204229747104,0.00185797876285954,0.843921002237774
"SEC61G",378.780848620193,-0.683061308174688,0.218449205150871,-3.1268656148368,0.00176680667403411,0.843921002237774
"MMP19",24.1928586926325,2.33996477855346,0.745007797176554,3.14085944794337,0.00168452853414874,0.843921002237774
"AC027290.1",107.410947483944,1.05790841403383,0.340024521627219,3.1112709429635,0.00186283932195574,0.843921002237774
"RND1",65.6465647423643,-1.39760839480457,0.455029489056122,-3.07146773652772,0.00213009182856057,0.886751471224823
"AC002398.1",15.8123917676313,2.91137669419244,0.946671830925812,3.07538113957105,0.00210233705719194,0.886751471224823
"AC245452.1",163.037210802959,0.895889903367479,0.291324380845277,3.07523146798787,0.00210339243379454,0.886751471224823
"LRRC75A",850.785405714347,0.577875047682772,0.189632920501942,3.04733506267364,0.00230880193871197,0.93585463847317
"AC019163.1",40.1606102855793,1.84066613084748,0.608337578640421,3.02573142852888,0.00248032508999377,0.977293979354248
"RAG1",2497.54611820224,-0.337787405828739,0.113749211112706,-2.96958020653039,0.0029820695338343,0.977293979354248
"NPAS4",19.4544430499982,-2.51694623452251,0.847385000668945,-2.97025110491166,0.00297556417043655,0.977293979354248
"GLS2",42.9489876163475,1.57997367857235,0.524510734911083,3.01228091897908,0.00259292522832797,0.977293979354248
"AGAP2-AS1",49.5718227440951,1.62214436021995,0.541773714649402,2.99413632732199,0.00275222940686569,0.977293979354248
"AL139099.1",306.841084948894,0.729286906059221,0.244512710624764,2.98261347721266,0.00285798678138899,0.977293979354248
"TDRD9",91.2916428033786,-1.17654194546347,0.394219528203193,-2.98448418023839,0.00284056889587132,0.977293979354248
"IL32",824.1805518717,-0.625173255133111,0.209210530076007,-2.98824946768207,0.00280580430361582,0.977293979354248
"LDLRAD4-AS1",18.3134097216897,2.61641689682917,0.874962291277379,2.99031960909926,0.00278685681795212,0.977293979354248
"AC004877.1",76.3771874783012,1.22674502414839,0.415287543561441,2.9539653745162,0.00313719202717466,0.978040894997
"PCA3",39.0213592947472,1.89305957891688,0.641653750991282,2.9502821046278,0.00317483897616374,0.978040894997
"GRID1",79.9008272226453,-1.1335532338427,0.383249652049455,-2.95774106455397,0.00309902326061529,0.978040894997
"IL15",13.3083760988791,-3.31515136729049,1.12885941784262,-2.93672650012179,0.00331696496294368,0.980286119464427
"PGAM2",61.1582038191191,1.26170489872955,0.43039243922151,2.93152198726286,0.00337305488097219,0.980286119464427
"ZNF433",50.2467996167527,1.36437735218805,0.464454049356005,2.93759383534248,0.00330770055914884,0.980286119464427
"AL669831.5",152.402676285287,0.0580044431589572,0.328078983954536,0.176800240173248,0.859665300395008,0.999990437204845
"FAM87B",21.5489726268851,0.0559189846191567,0.915556707988292,0.0610764839919362,0.951298297235177,0.999990437204845
"LINC00115",58.1949281484048,-0.257779934357915,0.507906744300759,-0.507533985816243,0.611780196384126,0.999990437204845
"AL645608.7",52.6276252762494,-0.1550729570202,0.556062817006896,-0.278876688527578,0.780339458951783,0.999990437204845
"AL645608.3",322.371798510114,0.051318290847542,0.206079071277076,0.249022331717246,0.80334350722647,0.999990437204845
"AL645608.1",54.2062002780866,0.658205467848265,0.46186975009708,1.42508892974679,0.154131496259533,0.999990437204845
"SAMD11",79.1341742750537,-0.0830886170317521,0.387621232295076,-0.214355174869526,0.830270094468691,0.999990437204845
"NOC2L",2313.45386301116,0.00811382353202544,0.129485912274156,0.0626618246689747,0.950035797125129,0.999990437204845
"KLHL17",1339.09703142299,0.0844781693280102,0.127687797645456,0.66159939231293,0.508227997106605,0.999990437204845
"HES4",125.852678482548,0.246118064864378,0.372730063343051,0.660311815625824,0.509053749239141,0.999990437204845
"ISG15",458.722402356906,-0.147022544885239,0.188112915133453,-0.781565395342135,0.43447003039606,0.999990437204845
"AGRN",315.596648041513,0.41724927382891,0.242091939061016,1.72351576614762,0.0847952965561347,0.999990437204845
"C1orf159",872.932596257833,-0.240386245609699,0.144552851327101,-1.66296439954506,0.0963195619361754,0.999990437204845
"TNFRSF4",54.3009298414052,0.12562991102342,0.446292302299343,0.281496925616153,0.778329285795395,0.999990437204845
"SDF4",1931.01702470105,-0.196043940659747,0.152493311956755,-1.28559041799383,0.198586042590513,0.999990437204845
"B3GALT6",1060.85264971825,-0.109509704761603,0.154827123424177,-0.707303102580944,0.47937813789094,0.999990437204845
"C1QTNF12",43.8658851266534,-0.305442115324357,0.552107078878564,-0.553229847993924,0.580106030873492,0.999990437204845
"UBE2J2",1524.30791673827,0.0276690893226883,0.120967759205627,0.228731105745747,0.819077916724789,0.999990437204845
"LINC01786",48.8536691364113,-0.677111186899758,0.472778595852137,-1.43219509690224,0.15208799455721,0.999990437204845
"SCNN1D",351.640898624105,0.15989331349587,0.228731308504565,0.699044282749244,0.484524356989167,0.999990437204845
"ACAP3",2917.84979532588,0.165909932195008,0.127459793010594,1.30166484878269,0.193030980887239,0.999990437204845
"PUSL1",475.362219363614,-0.0281494606211332,0.198292578403236,-0.141959224333097,0.887112213692137,0.999990437204845
"INTS11",1810.57948502219,-0.0149309199298503,0.137341077416253,-0.10871416047362,0.913429209994126,0.999990437204845
"CPTP",517.814527844529,-0.0294946615104266,0.244314353575163,-0.12072422712304,0.903909468873221,0.999990437204845
"TAS1R3",46.0840713134776,0.890886719977172,0.585062198318592,1.52272138336315,0.127828425835234,0.999990437204845
"DVL1",2958.37575676613,0.0117681486382678,0.132442678381039,0.0888546560830693,0.929197420153495,0.999990437204845
"MXRA8",85.752425184612,-0.219642361212066,0.357170950432917,-0.614950238662589,0.538587583503562,0.999990437204845
"AURKAIP1",1547.90831358615,-0.0765408969864716,0.14759806585189,-0.518576558200147,0.604056059646154,0.999990437204845
"CCNL2",2708.57596026769,-0.0778184984591197,0.116239849409896,-0.669464893959977,0.503198967666294,0.999990437204845
"MRPL20",1316.12206628237,-0.0578510165121035,0.133850453728138,-0.432206353439817,0.665591442084002,0.999990437204845
"AL391244.3",96.7364447505396,0.146044082106138,0.343555428131721,0.42509612757492,0.670766600732847,0.999990437204845
"ATAD3B",787.390963852576,-0.126101907099837,0.190013652677313,-0.663646560776279,0.506916549532075,0.999990437204845
"ATAD3A",1436.44331310899,-0.00853942194944273,0.157419971020378,-0.054246115623648,0.956739079793475,0.999990437204845
"TMEM240",42.777276871043,0.407333337647311,0.580449800901701,0.701754634103651,0.482832194875757,0.999990437204845
"SSU72",2146.09126295288,-0.165463630318352,0.110281270104246,-1.50037835220744,0.133516423809089,0.999990437204845
"AL645728.1",14.315738035278,1.51402229289422,1.28529714197145,1.17795507626505,0.238814516232404,0.999990437204845
"FNDC10",538.705029124078,-0.0891407340013761,0.222278399200834,-0.401031923578121,0.688396620474208,0.999990437204845
"AL691432.2",37.973582491058,0.500476603481701,0.579416457975819,0.863759730315752,0.387719893785917,0.999990437204845
"MIB2",1172.21919618148,0.0364096015614938,0.178514220438189,0.2039591102161,0.838385452517134,0.999990437204845
"MMP23B",37.4088549767041,-0.647683160259217,0.660002878457028,-0.981333841715036,0.326428139399561,0.999990437204845
"CDK11B",1220.58543554772,-0.0907848464132741,0.143140679646592,-0.634235121961262,0.5259273896533,0.999990437204845
"FO704657.1",20.6160298423782,0.385687488076095,0.756236629222247,0.510009001379311,0.610045155589376,0.999990437204845
"SLC35E2B",2172.03971660319,0.05948835990542,0.110040528842082,0.540604089524062,0.58878049851409,0.999990437204845
"CDK11A",697.590270322734,-0.130591384060823,0.157572733548559,-0.828768919088267,0.407235178768379,0.999990437204845
"SLC35E2A",1602.34158716843,-0.00118190119531897,0.125318503143401,-0.00943117868210188,0.992475119692296,0.999990437204845
"NADK",1557.50714314812,0.0784247736649861,0.128633554433618,0.609675865759096,0.54207654482856,0.999990437204845
"GNB1",6546.44819176667,-0.0844804095532344,0.0999423030911714,-0.845291802773125,0.39794793668562,0.999990437204845
"AL109917.1",37.2551811461879,0.738153040184334,0.587914603654315,1.25554465835034,0.209281106947209,0.999990437204845
"TMEM52",62.6282733160136,-0.0750713847798233,0.515397102444098,-0.14565736676404,0.884191878725643,0.999990437204845
"PRKCZ",63.9715544735658,0.69013385477693,0.433007976946178,1.59381325869364,0.110977866995472,0.999990437204845
"PRKCZ-AS1",50.0216700966207,-0.272531575570134,0.474837506690517,-0.573947027625518,0.566003648148719,0.999990437204845
"FAAP20",1113.07864501341,-0.20055844798802,0.144950932596087,-1.38362992494078,0.166471800454142,0.999990437204845
"SKI",1472.47912898928,-0.0617706380433663,0.129316184463103,-0.477671362635902,0.632884129928614,0.999990437204845
"MORN1",167.755194518601,-0.23250680514659,0.295701873386048,-0.786287900324002,0.431698839456474,0.999990437204845
"RER1",1724.48116003892,-0.0467417298481808,0.11773673255902,-0.397002098089904,0.691365913431107,0.999990437204845
"PEX10",529.441415215649,0.0920319586244814,0.166376230244342,0.55315569110637,0.580156804673724,0.999990437204845
"PANK4",740.913601663937,0.135136258162077,0.181101503473818,0.746190702837618,0.455552223544519,0.999990437204845
"AL139246.5",30.0259870490633,0.139665776142878,0.636257272114203,0.219511481069263,0.826251637349879,0.999990437204845
"TNFRSF14-AS1",20.6619325606953,-0.133115597290876,0.920510387221383,-0.144610641160383,0.885018295124212,0.999990437204845
"TNFRSF14",235.36625722273,0.00715123650490197,0.287372914914601,0.02488486608777,0.9801467986096,0.999990437204845
"FAM213B",580.437936075858,0.0704315594202968,0.212249384857682,0.331833986079737,0.740014619789612,0.999990437204845
"MMEL1",32.3009577626454,0.376645863097138,0.595679380387661,0.63229629142446,0.527193286449905,0.999990437204845
"TTC34",182.80050808397,0.237776349875711,0.254700562727024,0.933552510955969,0.350534771507143,0.999990437204845
"LINC00982",21.3538971059868,0.419351294596384,0.698850632817507,0.600058545995323,0.54846721825338,0.999990437204845
"PRDM16",192.746183028844,0.215315389853064,0.295923951512316,0.727603793990642,0.466856157460934,0.999990437204845
"MEGF6",60.5970778316702,0.130260606753543,0.485796575558029,0.268138174098724,0.788592962664654,0.999990437204845
"AL513320.1",20.8804647249557,0.200334792991414,0.793827138731621,0.252365764808078,0.800758359617269,0.999990437204845
"TPRG1L",414.899208659985,-0.174816792381121,0.194290617337421,-0.899769606874629,0.368242871829654,0.999990437204845
"WRAP73",947.455051259111,0.0886587039966665,0.153542176148266,0.577422479091702,0.563654092482327,0.999990437204845
"CCDC27",18.1870407309456,1.91160693055386,0.8886969799485,2.15102219731256,0.031474447688214,0.999990437204845
"LRRC47",1694.75695601015,-0.200594469252315,0.121301153570461,-1.65368970820046,0.0981905748337823,0.999990437204845
"AL365330.1",13.5929060654335,0.602377032783856,0.984550847569739,0.611829276538394,0.54065071758265,0.999990437204845
"CEP104",1662.02008897141,-0.150348615673099,0.120545567846383,-1.24723470434595,0.212311451365361,0.999990437204845
"DFFB",532.765216909126,-0.167983130645716,0.191266973178714,-0.878265221924948,0.379799804540452,0.999990437204845
"C1orf174",584.073382143998,-0.0305750224495518,0.162798093178688,-0.187809462952324,0.851026017409361,0.999990437204845
"LINC01134",15.3998276453122,-0.748270637291413,0.832211086260921,-0.899135627540546,0.36858042312895,0.999990437204845
"NPHP4",2021.17036159212,0.0394707058371954,0.11729829964225,0.336498533717692,0.736494957102048,0.999990437204845
"KCNAB2",8391.81820228392,-0.0723701585546409,0.108446549118634,-0.667334822018837,0.504558288396673,0.999990437204845
"CHD5",95.5851585519871,0.41181466990944,0.349929365345446,1.17685084674989,0.239255043744301,0.999990437204845
"RPL22",3191.69539659508,-0.093592340069266,0.116425173305342,-0.803884051980807,0.421463941291599,0.999990437204845
"AL031847.1",17.8287794502716,0.85556312586078,0.829467194676294,1.03146107688402,0.302324651937879,0.999990437204845
"RNF207",85.3596704878658,0.0952514470012528,0.420380112950843,0.226584093934983,0.820747161833957,0.999990437204845
"ICMT",1468.65036907694,-0.0597208025637258,0.122321434957368,-0.48822843342657,0.625388046780448,0.999990437204845
"LINC00337",41.5522022473399,-0.332931556045288,0.52298175452082,-0.636602621730724,0.524383717048709,0.999990437204845
"GPR153",374.93821553813,-0.135756693962243,0.191308760071833,-0.709620897188755,0.477939257267142,0.999990437204845
"ACOT7",2450.75289223966,-0.0417349535768535,0.143641349456792,-0.290549717993339,0.771395720858916,0.999990437204845
"AL031848.2",20.0788614181772,0.442135099782636,0.743034520100384,0.59503978324305,0.551816878461106,0.999990437204845
"ESPN",57.2026303810251,-0.160720759443276,0.448682871740214,-0.358205693968038,0.720189386420726,0.999990437204845
"TNFRSF25",172.842381920909,-0.223200381023988,0.259878237846596,-0.858865224242981,0.390414877508215,0.999990437204845
"PLEKHG5",206.510989238537,0.0157187865477321,0.256515560662695,0.0612781014419688,0.951137730539564,0.999990437204845
"NOL9",1559.20340291746,0.0149111582349165,0.121810355112001,0.122412895202598,0.902572026421162,0.999990437204845
"ZBTB48",529.161799093977,0.0243619846695073,0.189042590254658,0.128870349462994,0.897460238695529,0.999990437204845
"KLHL21",1840.7414959788,-0.0846334912097255,0.125236317362041,-0.675790321788702,0.499173780308622,0.999990437204845
"PHF13",646.960962586804,-0.214563690642377,0.156257962528939,-1.37313764476251,0.169709560062807,0.999990437204845
"THAP3",513.004478356544,0.0993141190521727,0.179581737766046,0.553030170481792,0.580242750986923,0.999990437204845
"DNAJC11",2180.21675785383,-0.0169464163399284,0.115545142214479,-0.146664896638163,0.88339652733893,0.999990437204845
"CAMTA1-DT",19.3209271589223,0.796563529701637,0.790050910182712,1.00824329095124,0.31333767986656,0.999990437204845
"CAMTA1",378.654619581017,0.101752020514679,0.222167049115525,0.457997803543623,0.64695401929031,0.999990437204845
"VAMP3",435.986283449473,0.141509361304815,0.195601647024663,0.723456900580047,0.469399223979834,0.999990437204845
"PER3",181.175323359256,0.0311374949892998,0.275478751311103,0.113030478180641,0.910006391950439,0.999990437204845
"PARK7",2003.2541342671,0.124568373215228,0.116629862241657,1.06806585226965,0.285490807984249,0.999990437204845
"AL034417.4",32.3856364277386,-0.393091651203145,0.587479664066701,-0.669115333256053,0.503421909577789,0.999990437204845
"ERRFI1",77.5674667580285,-0.0935129802425625,0.391796021539621,-0.238677717744783,0.811355496119804,0.999990437204845
"SLC45A1",38.3723601974631,0.306417919199028,0.537557073839921,0.570019322804552,0.568664592499176,0.999990437204845
"RERE",1713.00485717872,-0.0342223562839802,0.123987972392064,-0.276013516664061,0.782537684559711,0.999990437204845
"AL357552.2",28.7598137792381,-0.0683821544755693,0.670502260197327,-0.101986463782307,0.918767419393891,0.999990437204845
"ENO1",31602.5638561187,-0.119229913097496,0.113054542967193,-1.05462292773227,0.291597813474756,0.999990437204845
"ENO1-AS1",18.2759167276651,-0.189677081249923,0.79756692731113,-0.237819642157667,0.812020983446351,0.999990437204845
