"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HIST1H3H",7173.68109046302,-0.443356210141218,0.0949927851649481,-4.66726193332854,3.05240100921766e-06,0.0477181849770997
"FXYD2",146.828643583215,1.27813863518173,0.290937242325659,4.39317642858198,1.11706400461407e-05,0.0873153079206586
"TPO",237.256726966016,-0.861291432408152,0.211219466048015,-4.07770859629179,4.54817195470377e-05,0.237005240559614
"DYSF",84.9396245223274,1.54164944850064,0.401370903974189,3.84095965411527,0.00012255425822514,0.274383768948091
"CERKL",292.177780049226,0.929869321919549,0.237646390323942,3.91282746037935,9.12217140695124e-05,0.274383768948091
"ZBTB16",4101.37832391576,-0.315005203546338,0.0820252142090269,-3.84034600316437,0.000122861023644639,0.274383768948091
"C17orf100",94.3530417517115,1.39467992737268,0.356269680929007,3.91467475912046,9.05261509240823e-05,0.274383768948091
"NECTIN1",1477.9390494968,-0.357164890486962,0.0959594781863366,-3.72203869005425,0.00019762073262961,0.30894049131987
"NPIPB9",6.97052138916492,-6.15703049277986,1.63304805998748,-3.77026901022562,0.000163071675439233,0.30894049131987
"EBF4",231.103585830705,-0.875365348226795,0.234870141733043,-3.7270184356671,0.00019375829101359,0.30894049131987
"CRABP2",28.3587759809827,-2.23948713585374,0.617484138542601,-3.62679297502187,0.000286963187074398,0.373841291961172
"RPL37",7110.74885743894,-0.264805137350411,0.0727370729878442,-3.64058005736174,0.000272024507095599,0.373841291961172
"IGSF10",122.316489437433,1.16250444863576,0.323398870990103,3.5946459710162,0.00032483298354568,0.39062415628997
"AC112211.1",8.0596513908387,5.56038521711747,1.56420638261051,3.55476443449727,0.000378317872241666,0.394282886450264
"FARP1",348.863643288082,0.770860350722304,0.216116529048725,3.56687364041697,0.000361265571132955,0.394282886450264
"TPCN2",2481.17876738661,-0.289654764356428,0.0827428547561596,-3.5006619630182,0.000464104128199035,0.444396644530167
"AC002398.1",18.0394652335049,2.90539380451377,0.832522145388075,3.48986969368778,0.0004832561221143,0.444396644530167
"LSP1",312.624786448152,-0.835589932599477,0.242404845051005,-3.44708428754243,0.000566671759310931,0.484820942284607
"AC125611.3",340.623811530667,0.777821082648027,0.226339803740312,3.43651920605378,0.000589240574643864,0.484820942284607
"SIX6",2346.5398772501,-0.27322782410947,0.0807491421537338,-3.38366225104023,0.000715259317760311,0.53751396308455
"AC123912.4",669.562824928315,-0.446262626420694,0.131988692622278,-3.3810671016933,0.000722049077258079,0.53751396308455
"MICALL2",348.781604300151,-0.580513794339073,0.173990705368264,-3.33646439969522,0.000848512950898492,0.544732630803724
"IGFBPL1",88.725310906883,-1.1202597729371,0.334005806043961,-3.35401287242788,0.000796486574157502,0.544732630803724
"DUSP6",95.6835352764453,-1.05679788983472,0.317438100152289,-3.32914634168906,0.000871126192675309,0.544732630803724
"CSNK1G2-AS1",14.142440122902,3.43397716093136,1.02901582914966,3.337147071653,0.000846431454549876,0.544732630803724
"RAP1GAP",1075.76108339259,-0.34933964000081,0.111279984968853,-3.13928547077526,0.00169360371183896,0.630920489931445
"LPIN1",927.040228684748,-0.349005686215771,0.11023020210324,-3.16615301030563,0.00154469516624204,0.630920489931445
"NCBP2-AS1",16.0700578530073,2.92636893830527,0.923977023850031,3.16714470465041,0.00153943695204086,0.630920489931445
"SPON2",1293.18710068478,-0.375357306315124,0.117499815063475,-3.19453529447983,0.00140056158550925,0.630920489931445
"SLC23A1",337.000013008828,-0.552707086074046,0.17602337337232,-3.13996417342244,0.00168968497287314,0.630920489931445
"MICAL1",1460.71748315525,-0.438952575836031,0.138604394369271,-3.16694559240721,0.00154049137101288,0.630920489931445
"PLOD3",136.096132266166,-0.953216811215227,0.295577658120403,-3.22492849181089,0.00126004137506371,0.630920489931445
"RAG1",2404.82475637671,-0.274681120137116,0.0874439465127419,-3.14122510581211,0.00168242665134655,0.630920489931445
"C10orf113",9.54943961635117,-4.25688655397123,1.31584302639328,-3.23510211217164,0.00121599234592743,0.630920489931445
"AC069234.2",202.130353922385,1.02596203447956,0.320537456701766,3.20075552179269,0.00137067776626335,0.630920489931445
"AL355075.4",151420.459410027,-0.286213961474242,0.0902581279298126,-3.17106024730327,0.00151883638956458,0.630920489931445
"AL583722.2",174.851143388097,0.912160060256998,0.282616777910773,3.22755098618024,0.00124854788136448,0.630920489931445
"RFLNB",821.221149236447,-0.460448591684292,0.144820095512897,-3.17945234087548,0.00147553631607183,0.630920489931445
"AC008894.2",268.0273843521,0.905174360849816,0.283537271007383,3.19243518721123,0.0014107860164705,0.630920489931445
"SLC27A1",307.434427169905,-0.562765909461426,0.173688746866209,-3.24008273198562,0.00119495023472505,0.630920489931445
"RPL13A",29834.854354544,-0.181495530404599,0.0578188757014865,-3.13903596710603,0.00169504641317218,0.630920489931445
"CACNA1I",237.440381955667,-0.682532432738635,0.217260015448305,-3.14154646141521,0.00168058141997813,0.630920489931445
"GIMAP1",77.6691407542225,1.06060961638283,0.339658564362956,3.12257580895112,0.00179275928880294,0.635013783896911
"NHLRC3",549.025820891489,0.45565052213272,0.145659597896349,3.12818742268504,0.00175887983867178,0.635013783896911
"AC005329.3",30.0874478467533,2.18391644346845,0.700679124038944,3.11685673019575,0.00182790381087194,0.635013783896911
"HIST4H4",503.849433307909,-0.530832662055043,0.170746568851862,-3.10889211785911,0.00187790273942882,0.638201163597624
"PPP2CA",1839.71413195501,0.28613019462323,0.093545654116004,3.05872247435895,0.00222282964650025,0.73227765304595
"NKX2-6",102.142538160137,1.07954541954888,0.353336108146097,3.05529323117612,0.00224840576640476,0.73227765304595
"LINC02362",7.58059249832852,-4.3990756534099,1.44536873186113,-3.04356636229803,0.002337918700543,0.738401591152187
"HDGFL3",1438.12243577306,0.320075867360496,0.105270000948666,3.04052307852243,0.00236167591361922,0.738401591152187
"GMPS",2402.19555018103,0.277552055277664,0.0918676844401231,3.02121531601861,0.00251762260819042,0.74828715059135
"CPNE7",1081.36354740547,-0.415757378262218,0.13771788814353,-3.01890614114642,0.00253689112654907,0.74828715059135
"MGAT5B",158.845126698158,-0.750519912363132,0.248136986301185,-3.02461927804734,0.00248946286480001,0.74828715059135
"ERFE",129.890590884365,-0.777252538886854,0.258334557286091,-3.00870525047909,0.00262363515868841,0.759542378440295
"USP9X",3221.9260097168,0.24352048880011,0.0811402707083138,3.00122844888609,0.00268892750700632,0.764290976673268
"NEK7",1867.67786842344,0.280010658611819,0.0971227253592591,2.88306014453418,0.00393832237304904,0.843394433669529
"MPV17",327.697296183737,0.504197552683153,0.170626664663909,2.95497514222817,0.00312694244114785,0.843394433669529
"HS6ST1",2999.98131805917,-0.260186648095332,0.0894387158131868,-2.90910536594455,0.00362464676402781,0.843394433669529
"AC022113.1",11.0478005217042,2.80746471285507,0.946715688127635,2.96547817688279,0.00302212785954239,0.843394433669529
"ZSCAN31",75.7651398149423,1.24026828117462,0.427071095889141,2.90412601815734,0.0036827989311763,0.843394433669529
"ZBTB6",248.315790725411,0.654449537999704,0.226676805476478,2.88714823126275,0.00388751034969109,0.843394433669529
"LINC02381",7.42535928086973,3.92588825569773,1.34077314950378,2.92807792067637,0.00341064558211423,0.843394433669529
"AC025423.4",83.5447039844731,1.14108199583851,0.387770192109729,2.94267589169312,0.00325388882135328,0.843394433669529
"CNMD",12.065659212414,2.59197982330445,0.88912098787463,2.91521610517863,0.00355442324780267,0.843394433669529
"CEBPE",290.569129128536,-0.689630942825454,0.237321435687977,-2.90589402860414,0.00366205449343088,0.843394433669529
"BCL2L2",46.8524345795725,-1.359275842716,0.463751215176236,-2.93104534982068,0.00337823461064972,0.843394433669529
"AC018362.1",66.8696298332733,1.22495048625984,0.422278574527283,2.90081136044163,0.00372197865815306,0.843394433669529
"AC009133.1",1139.34390521334,0.485175860269304,0.167967791325269,2.88850532855887,0.00387077470576243,0.843394433669529
"ITGAL",398.280971224527,-0.470947337952667,0.162394928953539,-2.90001258652236,0.00373147676013793,0.843394433669529
"ANKEF1",174.184514018156,0.738857762142873,0.250308282241698,2.95179110945051,0.00315936582242446,0.843394433669529
"TICAM1",410.570929489865,-0.5031550672535,0.171710115185621,-2.93025874864497,0.00338679862872066,0.843394433669529
"EMID1",339.419773026379,-0.508345386289222,0.175947545518908,-2.88918714262254,0.00386239133988434,0.843394433669529
"CBSL",36.0040685080111,1.53437591728511,0.523214329669632,2.93259536346021,0.00336141672208412,0.843394433669529
"AL357055.3",20.2565145832274,2.17016323305945,0.758400902550331,2.86149874790718,0.00421643169180808,0.851967786328472
"PPFIA4",535.146970388852,-0.615110066897059,0.214382642867606,-2.86921580343109,0.00411490938544747,0.851967786328472
"NKX3-1",1204.33690587515,-0.307349504748045,0.107379820748179,-2.86226501968952,0.00420625029941676,0.851967786328472
"HBQ1",192.690841025915,-0.61995758022136,0.217157340815358,-2.85487738012269,0.00430534479114369,0.851967786328472
"AC005606.1",99.2488335643717,0.978906790402644,0.342737921045709,2.85613797100699,0.00428828741166254,0.851967786328472
"AC005288.1",57.8447476005041,1.2271237780811,0.427372048348154,2.87132437140914,0.00408755849424052,0.851967786328472
"CENPS-CORT",7.43209444459543,3.92206678656572,1.38680082998635,2.82813991869641,0.00468193384807427,0.854128858506241
"FN1",33.6909698123956,1.85581966213354,0.657631747182084,2.82197395439868,0.00477290533954685,0.854128858506241
"NT5DC1",356.834935224796,0.479918793257494,0.169192363785857,2.83652750348069,0.00456070500852817,0.854128858506241
"AL731563.3",50.9409856902551,1.19774325161377,0.422389846516392,2.83563457192924,0.00457347427188529,0.854128858506241
"GOT1",486.441824644446,-0.457279206349919,0.161187897869125,-2.83693262580546,0.00455492226040398,0.854128858506241
"PTMS",484.246030237598,-0.46522856847864,0.164787182173101,-2.82320847012203,0.00475456445750923,0.854128858506241
"C12orf57",1764.26167869665,-0.283482570364629,0.100481209300378,-2.82124958824078,0.00478369684522107,0.854128858506241
"ARL6IP4",1962.46009984297,-0.28033526178395,0.0994229165963875,-2.81962420114857,0.00480799203918309,0.854128858506241
"MIF",2158.66985294452,-0.324735209934478,0.114292022004396,-2.84127626967687,0.0044933367857414,0.854128858506241
"RORA-AS1",31.8027901339632,1.63297527797079,0.581463411782321,2.80838870491496,0.00497900891337906,0.874571307223089
"FOXD2-AS1",279.254792255411,-0.592454863966795,0.211262310086202,-2.80435664896901,0.00504171015118238,0.875745053260379
"KCNC4",1187.46051778378,-0.282661687495586,0.101623960494592,-2.78144727011134,0.00541171212301328,0.877205195368021
"FZD5",187.673574909349,-0.670120265991009,0.239402054279851,-2.79914166988587,0.00512386514154902,0.877205195368021
"ARL4C",1693.13396196455,-0.255534546530139,0.0914151791177324,-2.79531855646248,0.00518485972427396,0.877205195368021
"IQCB1",602.39784150979,0.400841988103839,0.144264585209889,2.77851967286814,0.00546072065040362,0.877205195368021
