"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ITGA4",10664.7561091138,-0.567714908052319,0.0736238375040163,-7.71102033388777,1.24815772488536e-14,1.91654618656147e-10
"AC021224.1",1550.23406751688,0.601962911743482,0.14633752579274,4.11352391317624,3.89664654868596e-05,0.299165038775364
"ZBTB16",4331.40936195102,-0.331044803668747,0.0854255349916195,-3.87524413749617,0.000106517851208467,0.545193868435336
"AC005481.1",33.7068390573495,-2.2482810046325,0.627631141359195,-3.58216929734181,0.000340752838646642,0.771266218667712
"AL355075.4",158198.747547412,-0.340619685608076,0.0953055680394948,-3.57397466501561,0.000351602965201822,0.771266218667712
"SULT1A2",37.018537353407,-2.23657744124828,0.614137887628769,-3.64181641664199,0.000270721110786556,0.771266218667712
"AC092069.1",831.513338449003,0.562163803462044,0.155229834271519,3.62149329154561,0.000292907402200783,0.771266218667712
"AL669831.5",164.738403597369,0.306952714594835,0.284409178230956,1.07926444745595,0.280469856978352,0.999332175061784
"FAM87B",21.9042476716474,0.0997253909152269,0.897148767697885,0.111158142892093,0.911490943003006,0.999332175061784
"LINC00115",68.330132947222,0.298862705669256,0.465021186841949,0.64268621328609,0.52042772864002,0.999332175061784
"AL645608.7",56.2650481137188,0.0818514022156725,0.478308172966532,0.171126915327453,0.864123972654641,0.999332175061784
"AL645608.3",306.725444271513,-0.141839546137488,0.203740578525324,-0.69617720320676,0.486317862387346,0.999332175061784
"AL645608.1",55.5055717144967,0.71670743220645,0.442930199288625,1.61810468863385,0.105640038250245,0.999332175061784
"SAMD11",82.8092137317325,0.0710904107249163,0.389206750271347,0.182654619107591,0.855069025325556,0.999332175061784
"NOC2L",2292.09705516816,-0.0376906105081043,0.102928819960019,-0.366181313676234,0.714229784842701,0.999332175061784
"KLHL17",1294.57962868615,-0.0479849035708973,0.115554727116808,-0.415256950262121,0.677953812224303,0.999332175061784
"HES4",111.053143277162,-0.212217291466011,0.458253587806846,-0.463100119917578,0.643292604061502,0.999332175061784
"ISG15",455.883817144543,-0.184844760104722,0.17177966614849,-1.07605727877558,0.281901640328717,0.999332175061784
"C1orf159",876.835562265143,-0.235381607420678,0.127211677541653,-1.85031446773907,0.0642682386172313,0.999332175061784
"TNFRSF4",52.5011840445619,0.00257966800528838,0.499480425458857,0.0051647029068627,0.995879181609381,0.999332175061784
"SDF4",1942.83628499399,-0.186088246480027,0.144381298757385,-1.28886668897975,0.19744443647078,0.999332175061784
"B3GALT6",1045.14435180272,-0.17998896049334,0.145094321357589,-1.2404962427837,0.214791903035073,0.999332175061784
"C1QTNF12",47.6627190159421,-0.00751725771481032,0.560248055871216,-0.0134177310140248,0.989294520811594,0.999332175061784
"UBE2J2",1470.83669468148,-0.114787080150244,0.109733977281499,-1.04604866235535,0.295538565763723,0.999332175061784
"LINC01786",55.030865621852,-0.173261134544017,0.434297710308849,-0.398945539963366,0.689933332739443,0.999332175061784
"SCNN1D",355.683553642315,0.185864512808505,0.191306011481069,0.97155604975277,0.331271456240306,0.999332175061784
"ACAP3",2711.41888182017,-0.10690220494405,0.109236061461261,-0.978634743087668,0.327760486207043,0.999332175061784
"PUSL1",467.79104247521,-0.101892399041838,0.17261239649663,-0.590295952723345,0.554992252313027,0.999332175061784
"INTS11",1782.81204594371,-0.0840760728917292,0.10934483709558,-0.768907569163387,0.441948183692859,0.999332175061784
"CPTP",539.09785154898,0.0997023219517019,0.176731161559,0.56414681526561,0.572654219688373,0.999332175061784
"TAS1R3",42.4884361624081,0.665680631740352,0.600857546674542,1.10788428209744,0.267911794559306,0.999332175061784
"DVL1",2827.26244474111,-0.169221315073945,0.106501541710403,-1.58890953460645,0.112080818276322,0.999332175061784
"MXRA8",85.4547027167011,-0.239997379203047,0.373963018116015,-0.641767681767377,0.521024036525539,0.999332175061784
"AURKAIP1",1494.64657507514,-0.223740431855266,0.136593409279447,-1.63800312940086,0.101421040976034,0.999332175061784
"CCNL2",2609.55406581176,-0.232205964489738,0.0911419500201727,-2.54773970096474,0.0108423337959255,0.999332175061784
"MRPL20",1270.12343765108,-0.205987715130953,0.118547253201795,-1.73760006720961,0.0822813079933599,0.999332175061784
"AL391244.3",90.6277909690183,-0.0976037018176007,0.346388783776021,-0.281775006550768,0.778116036594581,0.999332175061784
"ATAD3B",808.940387021383,-0.0374174895370404,0.178634988206586,-0.209463386275527,0.834086514908719,0.999332175061784
"ATAD3A",1359.04890841522,-0.231660984408406,0.131822782073377,-1.7573668281364,0.0788553036524088,0.999332175061784
"TMEM240",35.5628351161272,-0.243200585725162,0.586839439747273,-0.414424405131833,0.678563318753015,0.999332175061784
"SSU72",2168.4511221947,-0.137538726439457,0.0953380918956701,-1.44264190424502,0.149121372541895,0.999332175061784
"AL645728.1",15.5270143055116,1.6710615843404,1.02044148073676,1.63758688360443,0.101507901039727,0.999332175061784
"FNDC10",556.782423234832,0.018690349465413,0.174676244042233,0.106999950496383,0.914789019028441,0.999332175061784
"AL691432.2",39.7475867748588,0.616963153853074,0.504008931800217,1.22411154828032,0.220910150168767,0.999332175061784
"MIB2",1161.24908070094,-0.00985158374307045,0.141725926414367,-0.0695115141760808,0.944582467836309,0.999332175061784
"MMP23B",42.8099804633742,-0.0943944361244378,0.65524461612517,-0.144059842387787,0.885453215009519,0.999332175061784
"CDK11B",1244.66787041764,-0.0298954377584227,0.122330562223969,-0.24438241118919,0.806934662713486,0.999332175061784
"FO704657.1",23.2170071968834,0.728706084247421,0.690286819107146,1.055656958929,0.291124967959971,0.999332175061784
"SLC35E2B",2094.60637463489,-0.0834617444613697,0.0959519422454142,-0.869828609074963,0.384394074421885,0.999332175061784
"CDK11A",682.458694859455,-0.229379200486259,0.1447650687833,-1.58449273995523,0.113081632479992,0.999332175061784
"SLC35E2A",1630.88165871537,0.0523866784256328,0.113642987105855,0.460975901459158,0.644815894699501,0.999332175061784
"NADK",1491.87422196421,-0.0877568617146601,0.119836845745145,-0.732302833648435,0.463983750165551,0.999332175061784
"GNB1",6651.12037019364,-0.0373637238426361,0.0873612794196898,-0.427692040350486,0.668875345677888,0.999332175061784
"AL109917.1",30.6897682533275,0.144349796103131,0.646442903927084,0.223298601046153,0.823303115984499,0.999332175061784
"TMEM52",55.1239215465607,-0.635282960504949,0.519345305875076,-1.22323809095477,0.22123978250638,0.999332175061784
"PRKCZ",50.5917279186544,-0.0638179136051674,0.458904649784031,-0.139065737588846,0.889398202541463,0.999332175061784
