"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0030312","CC","GO:0030312","external encapsulating structure",35,-0.657257531237874,-3.30309371087779,1e-10,2.71774289468928e-07,2.56591805304234e-07,378,"tags=60%, list=12%, signal=53%","CD151/MDK/LOXL1/RTN4RL1/MST1/FBLN2/LTBP4/RTN4RL2/ADAMTS13/TNXB/COL16A1/ITGB4/FCGBP/LGALS3BP/ADAMTS7/IGFBPL1/HSPG2/F12/COL6A2/SEMA3B/MMP25"
"GO:0031012","CC","GO:0031012","extracellular matrix",35,-0.657257531237874,-3.30309371087779,1e-10,2.71774289468928e-07,2.56591805304234e-07,378,"tags=60%, list=12%, signal=53%","CD151/MDK/LOXL1/RTN4RL1/MST1/FBLN2/LTBP4/RTN4RL2/ADAMTS13/TNXB/COL16A1/ITGB4/FCGBP/LGALS3BP/ADAMTS7/IGFBPL1/HSPG2/F12/COL6A2/SEMA3B/MMP25"
"GO:0022402","BP","GO:0022402","cell cycle process",347,0.251877949144556,2.55348864989287,1.14334997673087e-10,2.71774289468928e-07,2.56591805304234e-07,1516,"tags=69%, list=49%, signal=40%","GEN1/CNTLN/CENPE/REEP3/ZMPSTE24/CCNE2/BRCA2/DBF4/KIF20B/BRCC3/STXBP4/CEP135/NABP1/C14orf39/MZT1/MBTPS2/MTBP/NBN/KIF18A/ATAD5/PCLAF/CDK6/AUNIP/MDM1/SMARCE1/CDK1/DNA2/TTK/SASS6/PKIA/USP37/YTHDC2/NEK7/RIOK2/PLRG1/UBE2B/DLGAP5/ECT2/SGO2/SYCP2/CCNH/CKAP2/FANCM/KNL1/STAG2/MASTL/NUF2/PPP6C/MIS12/SKA1/ANAPC4/CDC73/ORC4/BRIP1/CENPC/HAUS1/CEP44/CHMP2B/PHIP/ASPM/RAD17/SLF1/KIF3A/CEP97/THOC1/SMC5/NDC80/RRM2B/CCNC/EIF4E/PRPF40A/SMARCAD1/RRM2/SMC2/POC1B/MITD1/ABRAXAS1/BCAT1/TIPRL/RAD51AP1/CDC5L/ARPP19/SSX2IP/SUGT1/NDC1/KIF14/MRE11/PKN2/SIRT1/USP44/EXOC5/SMC3/MCPH1/ESCO2/CDKN3/ATRX/HAUS6/RIOK3/UFL1/TOP2A/CEP192/ACTR2/CENPI/MDM2/UBXN2B/LATS1/NPAT/CHORDC1/CCP110/STAG1/DSCC1/PDS5B/CSPP1/ZW10/CDC7/SMC6/NIPBL/PKD2/CENPF/CUL2/SMC4/WDR76/STIL/CDC27/CHAMP1/TOPBP1/CHEK1/TUBE1/RMI1/INTS13/BUB1B/USP33/ANXA1/PIAS1/PPP2CA/RDX/ARL8B/CEP152/KIF11/SKA2/EML4/TLK1/CENPU/RB1/CLSPN/CUL5/CDC42/SLF2/ZWILCH/BARD1/RAB11A/MAP3K20/ESCO1/SGO1/NUSAP1/VRK1/MELK/TAOK1/ITGB1/BLM/NPM1/ROCK2/APPL1/USP47/SKA3/XPO1/ZNF207/CSNK2A2/ATR/KIF4A/CCNA2/ZNF655/CEP295/WRN/NCAPG/ANLN/SENP6/RBBP8/DCAF13/RPS6KB1/CCNL1/PHF10/BROX/PTPRC/KIF23/CLASP2/SMARCA5/ACTL6A/TUBGCP5/WAPL/NCAPH/PCM1/ACTR3/BACH1/EZH2/BUB1/ATF2/AHCTF1/CEP55/FEM1B/CDC6/PPP1R12A/ADAM17/ALMS1/TACC1/RRM1/MED1/PTPN11/DLG1/NIN/UBR2/MAPRE1/BRD7/VPS4B/ATM/ROCK1/TOP2B/DDX3X/TPR/SRPK1/NAA50/NAE1/UBE2A/MLH1/TOP1/CACUL1/PUM2/SETD2/C2CD3/RBL2/BRCA1/PDS5A/MAPRE2/PTEN/USP9X/DTL/RAD18/PBRM1/RAD21"
"GO:0051276","BP","GO:0051276","chromosome organization",181,0.314004850520364,2.76621429055826,5.00992864431383e-10,7.14516023252038e-07,6.74600075979605e-07,1696,"tags=83%, list=55%, signal=40%","GEN1/CENPE/POT1/ZMPSTE24/CCNE2/BRCA2/C14orf39/MZT1/NBN/KIF18A/RIF1/SMARCE1/CDK1/DNA2/TTK/NEK7/RIOK2/SUB1/UBE2B/DLGAP5/SGO2/SYCP2/FANCM/HAT1/KNL1/STAG2/RECQL/NUF2/UCHL5/MIS12/ANAPC4/BRIP1/CENPC/CHMP2B/SLF1/CEP97/SMC5/NDC80/SMC2/ABRAXAS1/LIG4/DHX36/SMCHD1/SUGT1/NDC1/KIF14/HMGB1/MRE11/USP44/SMC3/MCPH1/ESCO2/ATRX/TOP2A/CEP192/CENPI/LATS1/STAG1/DSCC1/XRN1/PDS5B/ZW10/SMC6/INO80D/NIPBL/CENPF/SMC4/CDC27/CHAMP1/G3BP1/SETX/RFC1/BUB1B/ANXA1/DCP2/KIF11/EML4/DHX9/RB1/SLF2/ZWILCH/RAB11A/MAP3K20/ESCO1/SGO1/NUSAP1/XRCC5/BLM/HMGB3/ZNF207/ATR/KIF4A/WRN/NCAPG/HSP90AA1/SENP6/SSBP1/DDX1/HNRNPD/EXO1/PHF10/RFC3/KIF23/CLASP2/SMARCA5/ACTL6A/WAPL/NCAPH/MCM8/EZH2/BUB1/PPHLN1/HNRNPA2B1/CDC6/ASCC3/MAPRE1/BRD7/VPS4B/ATM/PTGES3/TOP2B/DDX3X/TPR/NAA50/MLH1/TOP1/PUM2/NUP107/PDS5A/GNL3/PBRM1/RAD21/NASP/KPNB1/CCT2/KNTC1/KIF2A/USP7/TPX2/INCENP/MYC/PHB2/BAG6/UPF1/DHX30/IGHMBP2/AKAP8L/HMGA1/BCL7A/NUMA1"
"GO:0007049","BP","GO:0007049","cell cycle",464,0.222811096935427,2.30230532534997,4.45860791551536e-10,7.14516023252038e-07,6.74600075979605e-07,1572,"tags=68%, list=51%, signal=39%","GEN1/CNTLN/CENPE/REEP3/ZMPSTE24/CCNE2/BRCA2/CASP8AP2/DBF4/MIS18BP1/KIF20B/BRCC3/STXBP4/RNF2/CEP135/BIRC3/NABP1/C14orf39/MZT1/MBTPS2/MTBP/NBN/LRRCC1/THAP5/KIF18A/ATAD5/RIF1/PCLAF/CDK6/AUNIP/MDM1/SMARCE1/CDK1/DNA2/TTK/SASS6/PKIA/USP37/YEATS4/YTHDC2/NEK7/RIOK2/ING3/PLRG1/UBE2B/DLGAP5/ECT2/SGO2/SYCP2/CCNH/CKAP2/FANCM/KNL1/STAG2/MASTL/NUF2/PPP6C/MBIP/OSGIN2/UCHL5/DMTF1/MIS12/SKA1/ANAPC4/CDC73/ORC4/BRIP1/CENPC/NEDD1/HAUS1/CEP44/CHMP2B/PHIP/ASPM/EPC2/RAD17/MBTD1/SLF1/KIF3A/CEP97/XIAP/THOC1/SMC5/NDC80/RRM2B/CCNC/EIF4E/PRPF40A/SMARCAD1/BTG3/RRM2/SMC2/POC1B/MITD1/ABRAXAS1/BCAT1/LIG4/FZD3/TIPRL/RPS6KA3/RAD51AP1/CDC5L/ARPP19/SSX2IP/UHRF2/SUGT1/NDC1/KIF14/MRE11/PKN2/SIRT1/USP44/HELLS/EXOC5/SMC3/PPP1CB/LIPA/MCPH1/ESCO2/CDKN3/ATRX/HAUS6/RIOK3/UFL1/TOP2A/CEP192/ACTR2/CENPI/MDM2/UBXN2B/LATS1/NPAT/CHORDC1/CCP110/STAG1/DSCC1/PDS5B/IPO7/CSPP1/ZW10/CDC7/SUV39H2/SMC6/PBK/INO80D/NIPBL/PNPT1/PKD2/ERCC6L/CENPF/CUL2/SMC4/WDR76/STIL/CDC27/CHAMP1/TOPBP1/CHEK1/TUBE1/RMI1/INTS13/BUB1B/USP33/ANXA1/PIAS1/PPP2CA/RDX/ARL8B/CEP152/CCNT2/KIF11/SKA2/EML4/TLK1/CENPU/RB1/CLSPN/PPP1CC/PCNP/CUL5/CASP3/GTF2H1/CDC42/SLF2/ZWILCH/BARD1/RAB11A/MAP3K20/ESCO1/SGO1/UHMK1/CCAR1/NUSAP1/VRK1/PTP4A1/MAPK6/MELK/TAOK1/ITGB1/BLM/NPM1/ROCK2/APPL1/USP47/SKA3/XPO1/PRR11/ZNF207/TARDBP/CSNK2A2/HERC5/ATR/KIF4A/CCNA2/RB1CC1/ZNF655/CEP295/WRN/CNTRL/NCAPG/ANLN/SENP6/RALA/RBBP8/KIF15/EXO1/AZI2/DCAF13/RPS6KB1/CCNL1/PHF10/BROX/PTPRC/KIF23/CLASP2/SMARCA5/CCNT1/MAP3K7/ACTL6A/TUBGCP5/SDCBP/WAPL/CD2AP/NCAPH/PCM1/ACTR3/BACH1/MCM8/EZH2/BUB1/ATF2/GTPBP4/AHCTF1/CEP55/PPM1A/FEM1B/CDC6/PPP1R12A/ADAM17/ALMS1/TACC1/RRM1/FANCI/MED1/PTPN11/DLG1/NIN/UBR2/MAPRE1/BRD7/VPS4B/ATM/TBRG1/ROCK1/TOP2B/DDX3X/TPR/WDHD1/SRPK1/NAA50/RBBP4/ARF6/NAE1/UBE2A/MLH1/TOP1/CACUL1/PUM2/SETD2/C2CD3/RBL2/BRCA1/PDS5A/MAPRE2/PTEN/EPB41L2/USP9X/DTL/ERH/RAD18/PBRM1/RAD21/LRP6/TMOD3/NASP/ZFYVE26/KPNB1/EPB41/SLFN11/DDX39B/NUP43/CDC123/KNTC1/WTAP/SENP5/KIF2A"
"GO:0071944","CC","GO:0071944","cell periphery",700,-0.235771036436496,-2.13154324220428,7.25532450988712e-10,8.62295318000084e-07,8.14123781846281e-07,946,"tags=40%, list=31%, signal=36%","RCCD1/GRK6/GPI/SLC1A4/CD37/RASGRP2/AP2S1/HSPB1/LIMD2/DNM1/RHOF/SLC19A1/FASN/SIPA1L3/GAA/SLC39A3/SNAP47/GPSM1/CAPN1/FZD1/GNAO1/GRK2/MYO1G/PIEZO1/LRFN1/NEURL1/PLA2G6/SPTBN2/SLC41A3/RNF5/PACSIN3/KCNAB2/ITGA5/RARA/PPFIA3/PTPRU/LAMTOR2/TMEM219/KCNQ3/BCR/GIPC1/PLXNA1/ABCG1/SPPL2B/COMT/LAT/ENO1/KCNA3/MAP2K2/SIT1/LPAR5/MTCL1/FMNL1/IRS1/ADGRB2/ITGB2/PKN1/PTPRN2/TRBC1/RELL2/RHOG/RASL10B/SAPCD2/GMIP/GGT7/RAB11FIP3/MICAL1/TM7SF2/CANT1/CCDC124/PSD4/CYBA/GRN/PLXND1/DVL1/CHMP1A/SLCO4A1/NRN1/NDRG1/IGSF8/PKD1/TP53I13/NOTCH3/SDF4/SLC23A1/MAPK3/CACNA1H/AMN/AGAP3/SCART1/BORCS5/TNFAIP2/PLXNB1/ARHGAP45/HLA-B/ANO9/ABCA7/DCXR/SCRIB/ARRDC1/GRAMD1A/NLGN2/SLC12A4/SPNS2/SLC9A3/LLGL1/OBSCN/TRAC/RNH1/SPON2/LRFN4/DMPK/EMP3/EMID1/PLEC/DGAT1/IL16/HYAL2/ARL2/ADGRA2/PTPRS/TMEM147/GSDMD/LRRC8A/LRP5/TMEM132A/FAM110A/HS6ST1/ATP8B3/SIPA1/PTOV1/VANGL2/ICAM5/NOTCH1/GPR157/TTYH3/SLC16A13/RTN4R/CDH24/ABHD17A/GUCY2D/SLC2A6/ARAP1/HLA-C/SHANK3/TOM1/ZAP70/TSPAN4/CD72/TMC6/PRKAR1B/LY6E/PLCD3/MFSD10/ICAM3/CD151/NDUFS7/FZD5/CLIP2/ORAI1/KCNH2/SLC2A1/MIB2/LRP1/NECTIN1/MDK/LOXL1/SH2D3C/TTC7A/CD320/PHPT1/SLC27A5/RTN4RL1/CORO1B/SLC22A18/PDLIM2/NOS3/SPHK1/GNA15/PTP4A3/FZD2/MST1/NKD2/WNK2/GNA11/RILPL1/PHLDA3/MAL/FBLN2/LTBP4/KCNJ11/CROCC/RASAL3/OCEL1/FCGRT/SPTB/JAM3/BLVRB/TRBV7-2/RGMA/IGSF9B/CPNE7/RTN4RL2/ITGB7/CERCAM/TMEM120A/ANO8/PTPRF/SHB/FES/DDN/CD7/PNPLA2/ADAMTS13/LIPE/SLC22A17/TNXB/COL16A1/FSCN1/CST3/SYNGR1/HOMER3/MICALL2/SH2B2/ITGB4/LLGL2/CKB/SLC29A4/GRID1/MIF/FCGBP/NPDC1/TSPAN9/STK16/PIK3R6/CACNA1I/CEBPE/ENO3/CCDC78/LGALS3BP/VSIR/FGFR3/TPO/IFITM3/PRR7/SMPD3/NSMF/RASAL1/TRAF1/AJM1/TGFBR3L/FGD5/ABCA2/SLC27A1/ADAMTS7/IGFBPL1/PDXP/HCN2/PLXNB3/HSPG2/F12/PLCD1/ADGRG1/RGS6/COL6A2/SDCBP2/IGFBP2/SLC6A8/KCNJ4/ABCA3/LSP1/STC1/SEMA3B/MMP25/SLC16A3/DUOX1/SMPD1/SDK2/GPR146/TRPM5/NECTIN2"
"GO:0098687","CC","GO:0098687","chromosomal region",135,0.341762635379443,2.79291757969467,4.14579639168512e-09,4.22338200987237e-06,3.98744567236361e-06,1441,"tags=75%, list=47%, signal=42%","GPATCH11/CENPE/POT1/BRCA2/MIS18BP1/NABP1/MTBP/NBN/KIF18A/RIF1/SMARCE1/CDK1/DNA2/TTK/SGO2/HAT1/KNL1/STAG2/NUF2/ORC5/MIS12/SKA1/CDC73/ORC4/CENPC/CHMP2B/RAD17/SLF1/THOC1/SMC5/NDC80/LIG4/DHX36/RAD51AP1/ORC2/SMCHD1/UHRF2/SUGT1/MRE11/HELLS/SMC3/PPP1CB/ESCO2/PHF6/ATRX/TOP2A/CENPI/SSB/STAG1/DSCC1/PDS5B/ZW10/SUV39H2/SMC6/ERCC6L/CENPF/SMC4/THOC2/CHAMP1/CHEK1/SETX/BUB1B/PPP2CA/THOC7/SKA2/CENPU/PPP1CC/SLF2/ZWILCH/ORC3/SGO1/XRCC5/BLM/SKA3/XPO1/CBX3/ZNF207/HDAC2/ATR/WRN/NCAPG/BAZ1A/PHF10/POLR2B/CLASP2/SMARCA5/ACTL6A/WAPL/EZH2/BUB1/AHCTF1/HNRNPA2B1/PPP1R12A/DYNC1LI2/PPP2R5C/BRD7/ATM/PTGES3/TPR/RBBP4/CBX5"
"GO:0007059","BP","GO:0007059","chromosome segregation",137,0.333240653293533,2.75066172814788,1.15877241044814e-08,1.03290075736321e-05,9.75198465424512e-06,1516,"tags=77%, list=49%, signal=41%","GEN1/CENPE/CCNE2/C14orf39/MZT1/KIF18A/SMARCE1/CDK1/TTK/SASS6/NEK7/RIOK2/UBE2B/DLGAP5/ECT2/SGO2/SYCP2/KNL1/STAG2/NUF2/MIS12/SKA1/ANAPC4/BRIP1/CENPC/HAUS1/CHMP2B/ASPM/CEP97/SMC5/NDC80/SMARCAD1/SMC2/ABRAXAS1/NDC1/KIF14/MRE11/USP44/SMC3/ESCO2/HAUS6/RIOK3/TOP2A/CEP192/ACTR2/CENPI/LATS1/STAG1/ZW10/SMC6/NIPBL/CENPF/SMC4/STIL/CDC27/CHAMP1/BUB1B/ARL8B/KIF11/SKA2/EML4/TLK1/CENPU/RB1/CDC42/ZWILCH/RAB11A/MAP3K20/SGO1/NUSAP1/SKA3/ZNF207/CSNK2A2/KIF4A/NCAPG/SENP6/DCAF13/PHF10/KIF23/CLASP2/SMARCA5/ACTL6A/TUBGCP5/WAPL/NCAPH/ACTR3/BUB1/CDC6/MAPRE1/BRD7/VPS4B/ATM/TOP2B/DDX3X/TPR/SRPK1/MLH1/TOP1/PUM2/BRCA1/MAPRE2/PTEN/USP9X/RAD18/PBRM1/RAD21"
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix",26,-0.647254331204091,-2.93788723966199,9.92069957194158e-08,7.48790264313483e-05,7.06959610086286e-05,378,"tags=58%, list=12%, signal=51%","CD151/MDK/LOXL1/MST1/FBLN2/LTBP4/TNXB/COL16A1/ITGB4/LGALS3BP/IGFBPL1/HSPG2/F12/COL6A2/SEMA3B"
"GO:0044770","BP","GO:0044770","cell cycle phase transition",160,0.284290449667037,2.43617513608053,1.05004945212941e-07,7.48790264313483e-05,7.06959610086286e-05,1561,"tags=74%, list=51%, signal=39%","GEN1/CENPE/CCNE2/BRCA2/DBF4/BRCC3/STXBP4/NABP1/MBTPS2/MTBP/NBN/ATAD5/CDK6/SMARCE1/CDK1/DNA2/TTK/SASS6/PKIA/USP37/RIOK2/PLRG1/DLGAP5/CCNH/KNL1/MASTL/NUF2/PPP6C/ANAPC4/CDC73/BRIP1/RAD17/THOC1/SMC5/NDC80/RRM2B/EIF4E/RRM2/ABRAXAS1/BCAT1/TIPRL/CDC5L/ARPP19/KIF14/MRE11/USP44/CDKN3/UFL1/MDM2/LATS1/NPAT/ZW10/CDC7/PKD2/CENPF/CUL2/WDR76/STIL/CDC27/TOPBP1/CHEK1/BUB1B/ANXA1/PIAS1/PPP2CA/RDX/RB1/CLSPN/CUL5/ZWILCH/BARD1/RAB11A/MAP3K20/MELK/TAOK1/ITGB1/BLM/NPM1/APPL1/USP47/ZNF207/ATR/CCNA2/ZNF655/ANLN/RBBP8/RPS6KB1/PHF10/PTPRC/CLASP2/ACTL6A/BACH1/EZH2/BUB1/ATF2/FEM1B/CDC6/ADAM17/RRM1/PTPN11/DLG1/BRD7/VPS4B/ATM/DDX3X/TPR/NAE1/UBE2A/CACUL1/RBL2/BRCA1/PTEN/DTL/PBRM1/RAD21/TMOD3/SLFN11/DDX39B/KNTC1"
