"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDIT4",3682.80964742215,-0.933480511186242,0.0987436354382377,-9.45357649678715,3.27446905968293e-21,4.11142335133788e-17
"MIF",2815.53097301018,-0.7437433599444,0.0920701869209538,-8.07800423586558,6.58353204769882e-16,4.13314141954532e-12
"SLC16A3",995.630711289716,-1.38202386997544,0.180056811105346,-7.67548787236301,1.64790246468947e-14,6.89702111554698e-11
"F12",592.308780945717,-0.95544422440388,0.130308819190094,-7.33215319072212,2.26483990238405e-13,7.10933245358353e-10
"RIF1",4521.52956024892,0.590729367656238,0.0840205178171775,7.03077513687338,2.05389281225745e-12,3.29967689941401e-09
"RMRP",133310.388593364,-0.614171847169167,0.0867650997542436,-7.07855864752957,1.45661479841627e-12,3.29967689941401e-09
"PGGHG",8163.48597504014,-0.444723079829684,0.0634316351490198,-7.01106125965218,2.3651713997074e-12,3.29967689941401e-09
"CD7",3162.46122722561,-0.678993456007079,0.0961724841785017,-7.06016343247231,1.66306887653705e-12,3.29967689941401e-09
"RPL28",26308.5151443764,-0.604948022980055,0.0861446426452661,-7.02246830915722,2.17982457732611e-12,3.29967689941401e-09
"RPL13",26631.8100786914,-0.506718985446887,0.0729775714651044,-6.9434892840903,3.82531639203692e-12,4.80306726184156e-09
"ATP13A3",4762.44670270555,0.465388906661645,0.0673778871022283,6.90714604860699,4.94500778704845e-12,5.64450161583457e-09
"SLIT1",8365.20991960799,-0.458667562945757,0.0675301335368812,-6.792042884015,1.10556671739831e-11,1.15679130863777e-08
"MYO7B",25574.0197753549,-0.440455295294598,0.0661573449986275,-6.65769303927985,2.78158945326585e-11,2.68658747501585e-08
"HMGCS1",3725.19869557531,0.620729318585934,0.0935520911587466,6.63511965256481,3.24239406699096e-11,2.90796427893846e-08
"RPL13A",38659.9302968999,-0.596965123486966,0.0912275927304254,-6.54369040791177,6.00189822140316e-11,5.02398893786254e-08
"CDK6",14018.091575246,0.583193737895274,0.0894270431246009,6.52144717658501,6.96322449114674e-11,5.46439041942741e-08
"CBFA2T3",5664.34880722749,-0.481295179206382,0.0742468834753933,-6.48236204238648,9.02976395129229e-11,6.66927742190741e-08
"ZNF518A",3348.72006815757,0.599450011025122,0.0945187329369392,6.34212914624091,2.26611220613024e-10,1.58073915889841e-07
"MOB1B",1538.7544682965,0.649338816896461,0.102555123508432,6.33160777036236,2.42619613483053e-10,1.60333256152274e-07
"NKD2",3428.24095991754,-0.592000047542592,0.0938219856089388,-6.30982219892594,2.79356214511157e-10,1.75379831470104e-07
"FBLN2",1666.90471108816,-0.602122522969866,0.0958828425859922,-6.27977338521075,3.39066882206009e-10,2.02729703475174e-07
"RPL27",9292.56411643656,-0.409947711335636,0.065692393629082,-6.24041367179156,4.36415198849371e-10,2.49074056216032e-07
"AC136475.3",1527.79886023894,-0.73546939078654,0.118509237187321,-6.20600898497074,5.43470724208043e-10,2.96687757093747e-07
"SELENOI",2014.09390164147,0.599132089929695,0.0966515950633976,6.19888465924127,5.68646834059565e-10,2.97497068685496e-07
"H1FX",4170.27889047226,-0.650419767711595,0.105154758838451,-6.18535741887665,6.1961917522732e-10,3.11197534566169e-07
"HLA-C",3904.10340307021,-0.502876523471343,0.0819997345753919,-6.13266038085758,8.64215118964972e-10,4.17349424374007e-07
"FCGRT",1579.49436989803,-0.619067680801096,0.101145816044534,-6.12054660302035,9.32549030793973e-10,4.3366983817219e-07
"ZAP70",12032.813863171,-0.506364593189896,0.0828343298659466,-6.11297989625029,9.77876941105305e-10,4.38507959732793e-07
"POLG",8332.81564459552,-0.690525529820346,0.113199868809573,-6.10005591951665,1.06031364690385e-09,4.59079246569817e-07
"IKZF2",6794.76567785827,0.505535690758743,0.0829910320237172,6.09144962330714,1.11892797654544e-09,4.68308655783487e-07
"BCLAF1",4203.02907494245,0.588003657095403,0.0967311325064346,6.07874261222248,1.21128607331586e-09,4.90609933437223e-07
"NBN",1606.37039230681,0.598394338351508,0.0993221562457299,6.02478199195594,1.69337719640968e-09,6.64438877441249e-07
"CENPE",2121.13957292252,0.721005962287595,0.120137990965044,6.00148176689074,1.95524901831842e-09,7.43942626485035e-07
"FGFR3",674.395411014918,-0.789677182960079,0.131774509858622,-5.99263988010506,2.0646171348557e-09,7.62450963095535e-07
"IGLL1",4500.09282679654,-0.563452012086731,0.0944529039315496,-5.96542815131514,2.43993395942305e-09,8.75308879843309e-07
"INTS1",12633.6171836299,-0.568777592122935,0.0956887598179824,-5.94403766131836,2.7808566604773e-09,9.69901006359806e-07
"ZNF326",1411.6783390305,0.645149880050561,0.108646167178362,5.93808227943679,2.88375316869748e-09,9.7860553476123e-07
"GOLT1B",589.415699507753,0.796695215845679,0.134439186977989,5.92606392343117,3.10281844421591e-09,1.0252365364625e-06
"ZFP36L2",8833.18096286242,-0.400728433444742,0.0677621937984395,-5.91374645627206,3.34412528383129e-09,1.07663684778938e-06
"PNPLA2",1265.46888556883,-0.68149306467572,0.115664789170197,-5.89196651431169,3.81626522055296e-09,1.19792565273157e-06
"VAT1",8092.23153775163,-0.43667205882976,0.0743399894620297,-5.87398602003835,4.25439265700253e-09,1.30288180978838e-06
"RPL8",20612.6096510035,-0.436982724155191,0.0745111667239115,-5.86466087391111,4.50051566624792e-09,1.34543987393831e-06
"LYPLA1",1358.35676750654,0.682684792865996,0.116692354403764,5.85029581718659,4.9069950558556e-09,1.3485753854414e-06
"SFRP5",410.422267751447,-0.959045329267374,0.163962922255116,-5.84915977391011,4.9406234254782e-09,1.3485753854414e-06
"SIX6",3263.79635008484,-0.450976322906842,0.0770616326386502,-5.85215116089632,4.85255277578194e-09,1.3485753854414e-06
"KDM6B",4186.58271440613,-0.447575163705109,0.0764188587175934,-5.85686794092446,4.71677892241344e-09,1.3485753854414e-06
"RABGGTB",2584.50127331989,0.529497998683177,0.0909475486182924,5.82201507052691,5.81423050416417e-09,1.55326549383586e-06
"SLC27A1",415.886549880468,-0.877834589935614,0.151265373533342,-5.80327519398961,6.50319253309422e-09,1.70112678011523e-06
"PHIP",4460.94293070896,0.494945184735075,0.0856539757424367,5.77842628371841,7.54025672310446e-09,1.89350926830599e-06
"ATAD5",2091.58165973749,0.593108138174428,0.102608198114042,5.7803192052474,7.45590239828409e-09,1.89350926830599e-06
"BRCA2",1909.02706550447,0.676917171742286,0.117270986950628,5.77224758948498,7.82210659040061e-09,1.92577196762882e-06
"NEK7",3054.50186379457,0.554612054689768,0.0961382660604505,5.76890012080138,7.97905744045677e-09,1.92663548504568e-06
"ASPM",5218.92353524323,0.49434367562529,0.0859776829033456,5.74967432166114,8.94155190065996e-09,2.11830425782427e-06
"CROCC",2003.15053495808,-0.604737577244332,0.10593944491452,-5.70833250761584,1.14088372619111e-08,2.65276593815845e-06
"CDK1",1474.26777289971,0.572735943497892,0.100438186148979,5.70237242883261,1.18151330713514e-08,2.69728746988887e-06
"TLE2",716.053838073366,-0.748498614013194,0.131652563047741,-5.68540859885702,1.30500265991612e-08,2.92600239248337e-06
"ANO8",1026.85128579416,-0.666568074576994,0.117462893061859,-5.67471187880553,1.38922274486391e-08,3.00742772146746e-06
"C21orf91",514.576474710263,0.809692477838136,0.142681836945451,5.67481114045153,1.38841746525185e-08,3.00742772146746e-06
"NECTIN1",2053.44974868347,-0.541540848325449,0.0956445191324267,-5.66201652993463,1.49604408874616e-08,3.1307215963828e-06
"RBM25",4204.76116348976,0.487973013524297,0.0861634024082296,5.66334429567152,1.48450875785457e-08,3.1307215963828e-06
"SBK1",2096.73419828587,-0.641171544891924,0.113555868524495,-5.64630919760538,1.63928909865245e-08,3.37424818404593e-06
"ARL5B",1273.54558339902,0.646287746869112,0.11483797782749,5.62782242508631,1.82498819468195e-08,3.69589544716557e-06
"RPS5",15235.2187593659,-0.48083589113978,0.0856319854920133,-5.61514355152522,1.96399125712134e-08,3.91426574990724e-06
"HS6ST1",4124.50681535033,-0.477332421448978,0.0851230076313922,-5.60756057300005,2.05198207958463e-08,4.0257323423851e-06
"ATP13A2",2308.11153410239,-0.562078387722756,0.100289275892115,-5.6045712038783,2.08771154525776e-08,4.03281633265484e-06
"SP3",2286.35582097677,0.489899521444399,0.0874574261311399,5.60157716864213,2.1241018588964e-08,4.04094286974291e-06
"TTC7A",2361.54712330776,-0.562326122732399,0.100702078861953,-5.58405674527595,2.34971981991748e-08,4.373464951686e-06
"DLGAP5",1648.26051968515,0.535620704023263,0.0959434837006313,5.58266891469711,2.36855381263657e-08,4.373464951686e-06
"CHML",1638.55762575811,0.529144904913658,0.0950808198049302,5.56521184818624,2.61834117436505e-08,4.69655596933251e-06
"BCAT1",6830.170223678,0.465269965468198,0.0835893722206086,5.56613781283415,2.60447291014019e-08,4.69655596933251e-06
"KNL1",3248.4939286857,0.520882637953764,0.0937209472715204,5.55780381140095,2.73190200229289e-08,4.8312340198295e-06
"ZNF865",1193.82632966794,-0.686921373106557,0.123713963606103,-5.55249668738825,2.81618055007948e-08,4.9111059703886e-06
"CASP8AP2",1876.16460213827,0.660321139365703,0.118985620587137,5.54958772419165,2.86344043543575e-08,4.92511754894949e-06
"LSP1",419.025503444663,-1.23038576596717,0.22218156031132,-5.53774923644948,3.0638351099876e-08,5.19858292446003e-06
"SCAF11",3750.34132998157,0.463008556694162,0.0836456217446829,5.53535913819176,3.10591267882835e-08,5.19971194604917e-06
"TPI1",7340.90525995207,-0.44752948499711,0.0810441795608684,-5.52204350049582,3.35079500214293e-08,5.5358660588035e-06
"HIST1H4E",16100.814503056,-0.493523045598632,0.0894740338874887,-5.51582424705725,3.47149054370017e-08,5.66078380087005e-06
"TTYH3",2853.35019979262,-0.491112702873773,0.0891319727287158,-5.50994988485821,3.58935876632292e-08,5.77794726537829e-06
"ETHE1",825.143583248943,-0.617645574510179,0.112480473061066,-5.49113599633294,3.99356687016074e-08,6.34724374958712e-06
"SLC25A6",11747.3285956054,-0.463502014414466,0.0845721293419205,-5.48055273080038,4.23999120971626e-08,6.65466620364967e-06
"ARHGAP5",2113.93019220709,0.606325812197719,0.110858133073677,5.46938501837075,4.51599777850954e-08,6.96874340754556e-06
"PTOV1",3941.86569038261,-0.485208063284033,0.0887357323355586,-5.46801215827232,4.55110671725658e-08,6.96874340754556e-06
"UCHL5",1701.75334393459,0.508219702034935,0.0931065071305944,5.4584767241036,4.80236804305793e-08,7.26488351188379e-06
"SOCS4",1500.98136597522,0.573943127520431,0.10522834498093,5.45426356011248,4.91762188474009e-08,7.35067385533292e-06
"CORO1B",3582.52649279749,-0.575379049487192,0.105552344991545,-5.45112521690806,5.00521112426066e-08,7.39358010308434e-06
"MMS22L",2302.16979658062,0.478096050168948,0.0878244389332541,5.44377004824702,5.2164552495276e-08,7.6160246643103e-06
